site	visit	urban	urban_ord	julian_day	day_square	family	genus	plant	insect	p_species	i_species
SANT	1	low	a	95	9025	halictidae	sphecodes	NA	NA	NA	NA
SANT	2	low	a	114	12996	halictidae	sphecodes	NA	NA	NA	NA
SANT	3	low	a	129	16641	halictidae	sphecodes	NA	NA	NA	NA
SANT	4	low	a	142	20164	halictidae	sphecodes	NA	NA	NA	NA
SANT	5	low	a	156	24336	halictidae	sphecodes	leu.v	s.ret	Leucanthemum vulgare	Sphecodes reticulatus
SANT	6	low	a	170	28900	halictidae	sphecodes	NA	NA	NA	NA
MOSA	1	low	a	95	9025	halictidae	sphecodes	NA	NA	NA	NA
MOSA	2	low	a	114	12996	halictidae	sphecodes	NA	NA	NA	NA
MOSA	3	low	a	129	16641	halictidae	sphecodes	NA	NA	NA	NA
MOSA	4	low	a	142	20164	halictidae	sphecodes	NA	NA	NA	NA
MOSA	5	low	a	156	24336	halictidae	sphecodes	NA	NA	NA	NA
MOSA	6	low	a	170	28900	halictidae	sphecodes	NA	NA	NA	NA
LACA	1	low	a	95	9025	halictidae	sphecodes	NA	NA	NA	NA
LACA	2	low	a	114	12996	halictidae	sphecodes	NA	NA	NA	NA
LACA	3	low	a	129	16641	halictidae	sphecodes	NA	NA	NA	NA
LACA	4	low	a	142	20164	halictidae	sphecodes	NA	NA	NA	NA
LACA	5	low	a	156	24336	halictidae	sphecodes	NA	NA	NA	NA
LACA	6	low	a	170	28900	halictidae	sphecodes	NA	NA	NA	NA
CITA	1	low	a	97	9409	halictidae	sphecodes	NA	NA	NA	NA
CITA	2	low	a	126	15876	halictidae	sphecodes	NA	NA	NA	NA
CITA	3	low	a	136	18496	halictidae	sphecodes	NA	NA	NA	NA
CITA	4	low	a	151	22801	halictidae	sphecodes	NA	NA	NA	NA
CITA	5	low	a	165	27225	halictidae	sphecodes	ach.m	s.mon	Achillea millefolium	Sphecodes monilicornis
CITA	6	low	a	180	32400	halictidae	sphecodes	NA	NA	NA	NA
BETH	1	medium	b	104	10816	halictidae	sphecodes	NA	NA	NA	NA
BETH	2	medium	b	NA	NA	halictidae	sphecodes	NA	NA	NA	NA
BETH	3	medium	b	130	16900	halictidae	sphecodes	NA	NA	NA	NA
BETH	4	medium	b	143	20449	halictidae	sphecodes	NA	NA	NA	NA
BETH	5	medium	b	159	25281	halictidae	sphecodes	NA	NA	NA	NA
BETH	6	medium	b	173	29929	halictidae	sphecodes	NA	NA	NA	NA
CHUR	1	medium	b	97	9409	halictidae	sphecodes	NA	NA	NA	NA
CHUR	2	medium	b	126	15876	halictidae	sphecodes	NA	NA	NA	NA
CHUR	3	medium	b	136	18496	halictidae	sphecodes	NA	NA	NA	NA
CHUR	4	medium	b	151	22801	halictidae	sphecodes	NA	NA	NA	NA
CHUR	5	medium	b	165	27225	halictidae	sphecodes	NA	NA	NA	NA
CHUR	6	medium	b	180	32400	halictidae	sphecodes	NA	NA	NA	NA
BERG	1	medium	b	104	10816	halictidae	sphecodes	NA	NA	NA	NA
BERG	2	medium	b	NA	NA	halictidae	sphecodes	NA	NA	NA	NA
BERG	3	medium	b	130	16900	halictidae	sphecodes	NA	NA	NA	NA
BERG	4	medium	b	143	20449	halictidae	sphecodes	NA	NA	NA	NA
BERG	5	medium	b	159	25281	halictidae	sphecodes	NA	NA	NA	NA
BERG	6	medium	b	173	29929	halictidae	sphecodes	NA	NA	NA	NA
BLAN	1	medium	b	94	8836	halictidae	sphecodes	NA	NA	NA	NA
BLAN	2	medium	b	110	12100	halictidae	sphecodes	NA	NA	NA	NA
BLAN	3	medium	b	131	17161	halictidae	sphecodes	leu.v	s.mon	Leucanthemum vulgare	Sphecodes monilicornis
BLAN	4	medium	b	145	21025	halictidae	sphecodes	NA	NA	NA	NA
BLAN	5	medium	b	158	24964	halictidae	sphecodes	NA	NA	NA	NA
BLAN	6	medium	b	171	29241	halictidae	sphecodes	NA	NA	NA	NA
LEED	1	high	c	97	9409	halictidae	sphecodes	NA	NA	NA	NA
LEED	2	high	c	116	13456	halictidae	sphecodes	NA	NA	NA	NA
LEED	3	high	c	136	18496	halictidae	sphecodes	NA	NA	NA	NA
LEED	4	high	c	151	22801	halictidae	sphecodes	NA	NA	NA	NA
LEED	5	high	c	165	27225	halictidae	sphecodes	NA	NA	NA	NA
LEED	6	high	c	180	32400	halictidae	sphecodes	NA	NA	NA	NA
DEUS	1	high	c	104	10816	halictidae	sphecodes	NA	NA	NA	NA
DEUS	2	high	c	NA	NA	halictidae	sphecodes	NA	NA	NA	NA
DEUS	3	high	c	130	16900	halictidae	sphecodes	leu.v	s.mon	Leucanthemum vulgare	Sphecodes monilicornis
DEUS	3	high	c	130	16900	halictidae	sphecodes	leu.v	s.mon	Leucanthemum vulgare	Sphecodes monilicornis
DEUS	4	high	c	143	20449	halictidae	sphecodes	NA	NA	NA	NA
DEUS	5	high	c	159	25281	halictidae	sphecodes	NA	NA	NA	NA
DEUS	6	high	c	173	29929	halictidae	sphecodes	ach.m	s.mon	Achillea millefolium	Sphecodes monilicornis
ZENB	1	high	c	94	8836	halictidae	sphecodes	NA	NA	NA	NA
ZENB	2	high	c	110	12100	halictidae	sphecodes	NA	NA	NA	NA
ZENB	3	high	c	131	17161	halictidae	sphecodes	NA	NA	NA	NA
ZENB	4	high	c	145	21025	halictidae	sphecodes	NA	NA	NA	NA
ZENB	5	high	c	158	24964	halictidae	sphecodes	NA	NA	NA	NA
ZENB	6	high	c	171	29241	halictidae	sphecodes	NA	NA	NA	NA
COUB	1	high	c	94	8836	halictidae	sphecodes	NA	NA	NA	NA
COUB	2	high	c	110	12100	halictidae	sphecodes	NA	NA	NA	NA
COUB	3	high	c	131	17161	halictidae	sphecodes	NA	NA	NA	NA
COUB	4	high	c	145	21025	halictidae	sphecodes	NA	NA	NA	NA
COUB	5	high	c	158	24964	halictidae	sphecodes	NA	NA	NA	NA
COUB	6	high	c	171	29241	halictidae	sphecodes	NA	NA	NA	NA
SANT	1	low	a	95	9025	halictidae	halictus	NA	NA	NA	NA
SANT	2	low	a	114	12996	halictidae	halictus	tar.r	h.tum	Taraxacum sect. Ruderalia	Halictus tumulorum
SANT	2	low	a	114	12996	halictidae	halictus	bel.p	h.tum	Bellis perennis	Halictus tumulorum
SANT	2	low	a	114	12996	halictidae	halictus	tar.r	h.tum	Taraxacum sect. Ruderalia	Halictus tumulorum
SANT	2	low	a	114	12996	halictidae	halictus	tar.r	h.tum	Taraxacum sect. Ruderalia	Halictus tumulorum
SANT	2	low	a	114	12996	halictidae	halictus	tar.r	h.tum	Taraxacum sect. Ruderalia	Halictus tumulorum
SANT	3	low	a	129	16641	halictidae	halictus	NA	NA	NA	NA
SANT	4	low	a	142	20164	halictidae	halictus	NA	NA	NA	NA
SANT	5	low	a	156	24336	halictidae	halictus	NA	NA	NA	NA
SANT	6	low	a	170	28900	halictidae	halictus	NA	NA	NA	NA
MOSA	1	low	a	95	9025	halictidae	halictus	NA	NA	NA	NA
MOSA	2	low	a	114	12996	halictidae	halictus	tar.r	h.tum	Taraxacum sect. Ruderalia	Halictus tumulorum
MOSA	3	low	a	129	16641	halictidae	halictus	bel.p	h.tum	Bellis perennis	Halictus tumulorum
MOSA	3	low	a	129	16641	halictidae	halictus	vic.s	h.tum	Vicia sativa	Halictus tumulorum
MOSA	3	low	a	129	16641	halictidae	halictus	ran.r	h.tum	Ranunculus repens	Halictus tumulorum
MOSA	4	low	a	142	20164	halictidae	halictus	NA	NA	NA	NA
MOSA	5	low	a	156	24336	halictidae	halictus	NA	NA	NA	NA
MOSA	6	low	a	170	28900	halictidae	halictus	NA	NA	NA	NA
LACA	1	low	a	95	9025	halictidae	halictus	NA	NA	NA	NA
LACA	2	low	a	114	12996	halictidae	halictus	NA	NA	NA	NA
LACA	3	low	a	129	16641	halictidae	halictus	NA	NA	NA	NA
LACA	4	low	a	142	20164	halictidae	halictus	leu.v	h.mac	Leucanthemum vulgare	Halictus maculatus
LACA	4	low	a	142	20164	halictidae	halictus	leu.v	h.mac	Leucanthemum vulgare	Halictus maculatus
LACA	4	low	a	142	20164	halictidae	halictus	leu.v	h.mac	Leucanthemum vulgare	Halictus maculatus
LACA	5	low	a	156	24336	halictidae	halictus	NA	NA	NA	NA
LACA	6	low	a	170	28900	halictidae	halictus	tri.r	h.tum	Trifolium repens	Halictus tumulorum
CITA	1	low	a	97	9409	halictidae	halictus	NA	NA	NA	NA
CITA	2	low	a	126	15876	halictidae	halictus	NA	NA	NA	NA
CITA	3	low	a	136	18496	halictidae	halictus	NA	NA	NA	NA
CITA	4	low	a	151	22801	halictidae	halictus	NA	NA	NA	NA
CITA	5	low	a	165	27225	halictidae	halictus	NA	NA	NA	NA
CITA	6	low	a	180	32400	halictidae	halictus	NA	NA	NA	NA
BETH	1	medium	b	104	10816	halictidae	halictus	NA	NA	NA	NA
BETH	2	medium	b	NA	NA	halictidae	halictus	NA	NA	NA	NA
BETH	3	medium	b	130	16900	halictidae	halictus	bel.p	h.tum	Bellis perennis	Halictus tumulorum
BETH	3	medium	b	130	16900	halictidae	halictus	leu.v	h.tum	Leucanthemum vulgare	Halictus tumulorum
BETH	3	medium	b	130	16900	halictidae	halictus	leu.v	h.tum	Leucanthemum vulgare	Halictus tumulorum
BETH	3	medium	b	130	16900	halictidae	halictus	tri.p	h.tum	Trifolium pratense	Halictus tumulorum
BETH	3	medium	b	130	16900	halictidae	halictus	tri.p	h.tum	Trifolium pratense	Halictus tumulorum
BETH	3	medium	b	130	16900	halictidae	halictus	tri.p	h.tum	Trifolium pratense	Halictus tumulorum
BETH	3	medium	b	130	16900	halictidae	halictus	tri.p	h.tum	Trifolium pratense	Halictus tumulorum
BETH	4	medium	b	143	20449	halictidae	halictus	leu.v	h.tum	Leucanthemum vulgare	Halictus tumulorum
BETH	5	medium	b	159	25281	halictidae	halictus	NA	NA	NA	NA
BETH	6	medium	b	173	29929	halictidae	halictus	NA	NA	NA	NA
CHUR	1	medium	b	97	9409	halictidae	halictus	gle.h	h.tum	Glechoma hederacea	Halictus tumulorum
CHUR	1	medium	b	97	9409	halictidae	halictus	tar.r	h.tum	Taraxacum sect. Ruderalia	Halictus tumulorum
CHUR	1	medium	b	97	9409	halictidae	halictus	tar.r	h.tum	Taraxacum sect. Ruderalia	Halictus tumulorum
CHUR	1	medium	b	97	9409	halictidae	halictus	tar.r	h.tum	Taraxacum sect. Ruderalia	Halictus tumulorum
CHUR	2	medium	b	126	15876	halictidae	halictus	leu.v	h.tum	Leucanthemum vulgare	Halictus tumulorum
CHUR	2	medium	b	126	15876	halictidae	halictus	leu.v	h.tum	Leucanthemum vulgare	Halictus tumulorum
CHUR	2	medium	b	126	15876	halictidae	halictus	leu.v	h.tum	Leucanthemum vulgare	Halictus tumulorum
CHUR	3	medium	b	136	18496	halictidae	halictus	leu.v	h.tum	Leucanthemum vulgare	Halictus tumulorum
CHUR	3	medium	b	136	18496	halictidae	halictus	leu.v	h.tum	Leucanthemum vulgare	Halictus tumulorum
CHUR	3	medium	b	136	18496	halictidae	halictus	cen.j	h.tum	Centaurea jacea	Halictus tumulorum
CHUR	3	medium	b	136	18496	halictidae	halictus	leu.v	h.tum	Leucanthemum vulgare	Halictus tumulorum
CHUR	3	medium	b	136	18496	halictidae	halictus	cen.j	h.tum	Centaurea jacea	Halictus tumulorum
CHUR	3	medium	b	136	18496	halictidae	halictus	leu.v	h.tum	Leucanthemum vulgare	Halictus tumulorum
CHUR	3	medium	b	136	18496	halictidae	halictus	leu.v	h.tum	Leucanthemum vulgare	Halictus tumulorum
CHUR	3	medium	b	136	18496	halictidae	halictus	leu.v	h.tum	Leucanthemum vulgare	Halictus tumulorum
CHUR	3	medium	b	136	18496	halictidae	halictus	leu.v	h.tum	Leucanthemum vulgare	Halictus tumulorum
CHUR	4	medium	b	151	22801	halictidae	halictus	leu.v	h.tum	Leucanthemum vulgare	Halictus tumulorum
CHUR	4	medium	b	151	22801	halictidae	halictus	cen.j	h.tum	Centaurea jacea	Halictus tumulorum
CHUR	4	medium	b	151	22801	halictidae	halictus	cen.j	h.tum	Centaurea jacea	Halictus tumulorum
CHUR	5	medium	b	165	27225	halictidae	halictus	jac.v	h.tum	Jacobaea vulgaris	Halictus tumulorum
CHUR	6	medium	b	180	32400	halictidae	halictus	jac.v	h.tum	Jacobaea vulgaris	Halictus tumulorum
CHUR	6	medium	b	180	32400	halictidae	halictus	con.a	h.tum	Convolvulus arvensis	Halictus tumulorum
BERG	1	medium	b	104	10816	halictidae	halictus	NA	NA	NA	NA
BERG	2	medium	b	NA	NA	halictidae	halictus	NA	NA	NA	NA
BERG	3	medium	b	130	16900	halictidae	halictus	NA	NA	NA	NA
BERG	4	medium	b	143	20449	halictidae	halictus	cen.j	h.tum	Centaurea jacea	Halictus tumulorum
BERG	4	medium	b	143	20449	halictidae	halictus	cen.j	h.tum	Centaurea jacea	Halictus tumulorum
BERG	5	medium	b	159	25281	halictidae	halictus	NA	NA	NA	NA
BERG	6	medium	b	173	29929	halictidae	halictus	leu.v	h.tum	Leucanthemum vulgare	Halictus tumulorum
BLAN	1	medium	b	94	8836	halictidae	halictus	NA	NA	NA	NA
BLAN	2	medium	b	110	12100	halictidae	halictus	NA	NA	NA	NA
BLAN	3	medium	b	131	17161	halictidae	halictus	NA	NA	NA	NA
BLAN	4	medium	b	145	21025	halictidae	halictus	ger.p	h.tum	Geranium pyrenaicum	Halictus tumulorum
BLAN	4	medium	b	145	21025	halictidae	halictus	cen.j	h.tum	Centaurea jacea	Halictus tumulorum
BLAN	5	medium	b	158	24964	halictidae	halictus	NA	NA	NA	NA
BLAN	6	medium	b	171	29241	halictidae	halictus	ger.p	h.tum	Geranium pyrenaicum	Halictus tumulorum
LEED	1	high	c	97	9409	halictidae	halictus	NA	NA	NA	NA
LEED	2	high	c	116	13456	halictidae	halictus	NA	NA	NA	NA
LEED	3	high	c	136	18496	halictidae	halictus	cen.j	h.tum	Centaurea jacea	Halictus tumulorum
LEED	3	high	c	136	18496	halictidae	halictus	leu.v	h.tum	Leucanthemum vulgare	Halictus tumulorum
LEED	3	high	c	136	18496	halictidae	halictus	leu.v	h.tum	Leucanthemum vulgare	Halictus tumulorum
LEED	3	high	c	136	18496	halictidae	halictus	leu.v	h.tum	Leucanthemum vulgare	Halictus tumulorum
LEED	3	high	c	136	18496	halictidae	halictus	cen.j	h.tum	Centaurea jacea	Halictus tumulorum
LEED	4	high	c	151	22801	halictidae	halictus	ach.m	h.tum	Achillea millefolium	Halictus tumulorum
LEED	4	high	c	151	22801	halictidae	halictus	cen.j	h.tum	Centaurea jacea	Halictus tumulorum
LEED	4	high	c	151	22801	halictidae	halictus	cen.j	h.tum	Centaurea jacea	Halictus tumulorum
LEED	5	high	c	165	27225	halictidae	halictus	ach.m	h.tum	Achillea millefolium	Halictus tumulorum
LEED	6	high	c	180	32400	halictidae	halictus	cen.j	h.tum	Centaurea jacea	Halictus tumulorum
LEED	6	high	c	180	32400	halictidae	halictus	cen.j	h.tum	Centaurea jacea	Halictus tumulorum
LEED	6	high	c	180	32400	halictidae	halictus	hyp.r	h.tum	Hypochaeris radicata	Halictus tumulorum
DEUS	1	high	c	104	10816	halictidae	halictus	NA	NA	NA	NA
DEUS	2	high	c	NA	NA	halictidae	halictus	NA	NA	NA	NA
DEUS	3	high	c	130	16900	halictidae	halictus	ger.p	h.rub	Geranium pyrenaicum	Halictus rubicundus
DEUS	4	high	c	143	20449	halictidae	halictus	NA	NA	NA	NA
DEUS	5	high	c	159	25281	halictidae	halictus	NA	NA	NA	NA
DEUS	6	high	c	173	29929	halictidae	halictus	NA	NA	NA	NA
ZENB	1	high	c	94	8836	halictidae	halictus	tar.r	h.tum	Taraxacum sect. Ruderalia	Halictus tumulorum
ZENB	2	high	c	110	12100	halictidae	halictus	NA	NA	NA	NA
ZENB	3	high	c	131	17161	halictidae	halictus	NA	NA	NA	NA
ZENB	4	high	c	145	21025	halictidae	halictus	tri.r	h.tum	Trifolium repens	Halictus tumulorum
ZENB	4	high	c	145	21025	halictidae	halictus	leu.v	h.tum	Leucanthemum vulgare	Halictus tumulorum
ZENB	4	high	c	145	21025	halictidae	halictus	ger.p	h.tum	Geranium pyrenaicum	Halictus tumulorum
ZENB	5	high	c	158	24964	halictidae	halictus	NA	NA	NA	NA
ZENB	6	high	c	171	29241	halictidae	halictus	cen.j	h.tum	Centaurea jacea	Halictus tumulorum
COUB	1	high	c	94	8836	halictidae	halictus	NA	NA	NA	NA
COUB	2	high	c	110	12100	halictidae	halictus	NA	NA	NA	NA
COUB	3	high	c	131	17161	halictidae	halictus	NA	NA	NA	NA
COUB	4	high	c	145	21025	halictidae	halictus	NA	NA	NA	NA
COUB	5	high	c	158	24964	halictidae	halictus	NA	NA	NA	NA
COUB	6	high	c	171	29241	halictidae	halictus	NA	NA	NA	NA
SANT	1	low	a	95	9025	halictidae	lasioglossum	NA	NA	NA	NA
SANT	2	low	a	114	12996	halictidae	lasioglossum	tar.r	l.cal	Taraxacum sect. Ruderalia	Lasioglossum calceatum
SANT	2	low	a	114	12996	halictidae	lasioglossum	tar.r	l.cal	Taraxacum sect. Ruderalia	Lasioglossum calceatum
SANT	2	low	a	114	12996	halictidae	lasioglossum	bel.p	l.cal	Bellis perennis	Lasioglossum calceatum
SANT	2	low	a	114	12996	halictidae	lasioglossum	tar.r	l.cal	Taraxacum sect. Ruderalia	Lasioglossum calceatum
SANT	2	low	a	114	12996	halictidae	lasioglossum	tar.r	l.cal	Taraxacum sect. Ruderalia	Lasioglossum calceatum
SANT	2	low	a	114	12996	halictidae	lasioglossum	tar.r	l.cal	Taraxacum sect. Ruderalia	Lasioglossum calceatum
SANT	2	low	a	114	12996	halictidae	lasioglossum	tar.r	l.cal	Taraxacum sect. Ruderalia	Lasioglossum calceatum
SANT	2	low	a	114	12996	halictidae	lasioglossum	tar.r	l.cal	Taraxacum sect. Ruderalia	Lasioglossum calceatum
SANT	2	low	a	114	12996	halictidae	lasioglossum	tar.r	l.cal	Taraxacum sect. Ruderalia	Lasioglossum calceatum
SANT	2	low	a	114	12996	halictidae	lasioglossum	tar.r	l.cal	Taraxacum sect. Ruderalia	Lasioglossum calceatum
SANT	2	low	a	114	12996	halictidae	lasioglossum	tar.r	l.pau	Taraxacum sect. Ruderalia	Lasioglossum pauxillum
SANT	3	low	a	129	16641	halictidae	lasioglossum	NA	NA	NA	NA
SANT	4	low	a	142	20164	halictidae	lasioglossum	leo.h	l.leu	Leontodon hispidus	Lasioglossum leucozonium
SANT	4	low	a	142	20164	halictidae	lasioglossum	sil.f	l.mor	Silene flos-cuculi	Lasioglossum morio
SANT	4	low	a	142	20164	halictidae	lasioglossum	sil.f	l.pau	Silene flos-cuculi	Lasioglossum pauxillum
SANT	4	low	a	142	20164	halictidae	lasioglossum	leu.v	l.pau	Leucanthemum vulgare	Lasioglossum pauxillum
SANT	4	low	a	142	20164	halictidae	lasioglossum	leo.h	l.vil	Leontodon hispidus	Lasioglossum villosulum
SANT	5	low	a	156	24336	halictidae	lasioglossum	NA	NA	NA	NA
SANT	6	low	a	170	28900	halictidae	lasioglossum	leu.v	l.mal	Leucanthemum vulgare	Lasioglossum malachurum
SANT	6	low	a	170	28900	halictidae	lasioglossum	leu.v	l.pau	Leucanthemum vulgare	Lasioglossum pauxillum
MOSA	1	low	a	95	9025	halictidae	lasioglossum	NA	NA	NA	NA
MOSA	2	low	a	114	12996	halictidae	lasioglossum	NA	NA	NA	NA
MOSA	3	low	a	129	16641	halictidae	lasioglossum	ran.r	l.cal	Ranunculus repens	Lasioglossum calceatum
MOSA	3	low	a	129	16641	halictidae	lasioglossum	med.l	l.mor	Medicago lupulina	Lasioglossum morio
MOSA	3	low	a	129	16641	halictidae	lasioglossum	med.l	l.mor	Medicago lupulina	Lasioglossum morio
MOSA	3	low	a	129	16641	halictidae	lasioglossum	vic.s	l.pun	Vicia sativa	Lasioglossum punctatissimum
MOSA	4	low	a	142	20164	halictidae	lasioglossum	NA	NA	NA	NA
MOSA	5	low	a	156	24336	halictidae	lasioglossum	NA	NA	NA	NA
MOSA	6	low	a	170	28900	halictidae	lasioglossum	leu.v	l.cal	Leucanthemum vulgare	Lasioglossum calceatum
LACA	1	low	a	95	9025	halictidae	lasioglossum	NA	NA	NA	NA
LACA	2	low	a	114	12996	halictidae	lasioglossum	tar.r	l.vil	Taraxacum sect. Ruderalia	Lasioglossum villosulum
LACA	3	low	a	129	16641	halictidae	lasioglossum	tar.r	l.zon	Taraxacum sect. Ruderalia	Lasioglossum zonulum
LACA	4	low	a	142	20164	halictidae	lasioglossum	leu.v	l.pau	Leucanthemum vulgare	Lasioglossum pauxillum
LACA	4	low	a	142	20164	halictidae	lasioglossum	leu.v	l.pau	Leucanthemum vulgare	Lasioglossum pauxillum
LACA	4	low	a	142	20164	halictidae	lasioglossum	leu.v	l.pau	Leucanthemum vulgare	Lasioglossum pauxillum
LACA	5	low	a	156	24336	halictidae	lasioglossum	leu.v	l.lat	Leucanthemum vulgare	Lasioglossum laticeps
LACA	6	low	a	170	28900	halictidae	lasioglossum	pot.r	l.cal	Potentilla reptans	Lasioglossum calceatum
CITA	1	low	a	97	9409	halictidae	lasioglossum	tar.r	l.cal	Taraxacum sect. Ruderalia	Lasioglossum calceatum
CITA	2	low	a	126	15876	halictidae	lasioglossum	bel.p	l.pau	Bellis perennis	Lasioglossum pauxillum
CITA	2	low	a	126	15876	halictidae	lasioglossum	tar.r	l.lat	Taraxacum sect. Ruderalia	Lasioglossum laticeps
CITA	2	low	a	126	15876	halictidae	lasioglossum	bel.p	l.pau	Bellis perennis	Lasioglossum pauxillum
CITA	3	low	a	136	18496	halictidae	lasioglossum	bel.p	l.mor	Bellis perennis	Lasioglossum morio
CITA	3	low	a	136	18496	halictidae	lasioglossum	ger.p	l.mor	Geranium pyrenaicum	Lasioglossum morio
CITA	3	low	a	136	18496	halictidae	lasioglossum	bel.p	l.pau	Bellis perennis	Lasioglossum pauxillum
CITA	4	low	a	151	22801	halictidae	lasioglossum	leu.v	l.cal	Leucanthemum vulgare	Lasioglossum calceatum
CITA	4	low	a	151	22801	halictidae	lasioglossum	leu.v	l.cal	Leucanthemum vulgare	Lasioglossum calceatum
CITA	4	low	a	151	22801	halictidae	lasioglossum	tar.r	l.leu	Taraxacum sect. Ruderalia	Lasioglossum leucozonium
CITA	5	low	a	165	27225	halictidae	lasioglossum	NA	NA	NA	NA
CITA	6	low	a	180	32400	halictidae	lasioglossum	cen.j	l.pau	Centaurea jacea	Lasioglossum pauxillum
CITA	6	low	a	180	32400	halictidae	lasioglossum	bra.n	l.mor	Brassica nigra	Lasioglossum morio
CITA	6	low	a	180	32400	halictidae	lasioglossum	ach.m	l.pau	Achillea millefolium	Lasioglossum pauxillum
BETH	1	medium	b	104	10816	halictidae	lasioglossum	tar.r	l.cal	Taraxacum sect. Ruderalia	Lasioglossum calceatum
BETH	1	medium	b	104	10816	halictidae	lasioglossum	tar.r	l.cal	Taraxacum sect. Ruderalia	Lasioglossum calceatum
BETH	2	medium	b	NA	NA	halictidae	lasioglossum	NA	NA	NA	NA
BETH	3	medium	b	130	16900	halictidae	lasioglossum	leu.v	l.pau	Leucanthemum vulgare	Lasioglossum pauxillum
BETH	3	medium	b	130	16900	halictidae	lasioglossum	leu.v	l.cal	Leucanthemum vulgare	Lasioglossum calceatum
BETH	4	medium	b	143	20449	halictidae	lasioglossum	ran.a	l.cal	Ranunculus acris	Lasioglossum calceatum
BETH	5	medium	b	159	25281	halictidae	lasioglossum	leu.v	l.cal	Leucanthemum vulgare	Lasioglossum calceatum
BETH	6	medium	b	173	29929	halictidae	lasioglossum	ori.v	l.mor	Origanum vulgare	Lasioglossum morio
BETH	6	medium	b	173	29929	halictidae	lasioglossum	hyp.p	l.mor	Hypericum perforatum	Lasioglossum morio
BETH	6	medium	b	173	29929	halictidae	lasioglossum	ori.v	l.mor	Origanum vulgare	Lasioglossum morio
CHUR	1	medium	b	97	9409	halictidae	lasioglossum	tar.r	l.mor	Taraxacum sect. Ruderalia	Lasioglossum morio
CHUR	1	medium	b	97	9409	halictidae	lasioglossum	tar.r	l.cal	Taraxacum sect. Ruderalia	Lasioglossum calceatum
CHUR	2	medium	b	126	15876	halictidae	lasioglossum	leu.v	l.cal	Leucanthemum vulgare	Lasioglossum calceatum
CHUR	3	medium	b	136	18496	halictidae	lasioglossum	leu.v	l.cal	Leucanthemum vulgare	Lasioglossum calceatum
CHUR	3	medium	b	136	18496	halictidae	lasioglossum	leu.v	l.cal	Leucanthemum vulgare	Lasioglossum calceatum
CHUR	3	medium	b	136	18496	halictidae	lasioglossum	leu.v	l.cal	Leucanthemum vulgare	Lasioglossum calceatum
CHUR	3	medium	b	136	18496	halictidae	lasioglossum	leu.v	l.pau	Leucanthemum vulgare	Lasioglossum pauxillum
CHUR	3	medium	b	136	18496	halictidae	lasioglossum	leu.v	l.pau	Leucanthemum vulgare	Lasioglossum pauxillum
CHUR	3	medium	b	136	18496	halictidae	lasioglossum	leu.v	l.pau	Leucanthemum vulgare	Lasioglossum pauxillum
CHUR	3	medium	b	136	18496	halictidae	lasioglossum	leu.v	l.pau	Leucanthemum vulgare	Lasioglossum pauxillum
CHUR	4	medium	b	151	22801	halictidae	lasioglossum	NA	NA	NA	NA
CHUR	5	medium	b	165	27225	halictidae	lasioglossum	leu.v	l.pau	Leucanthemum vulgare	Lasioglossum pauxillum
CHUR	6	medium	b	180	32400	halictidae	lasioglossum	jac.v	l.cal	Jacobaea vulgaris	Lasioglossum calceatum
CHUR	6	medium	b	180	32400	halictidae	lasioglossum	jac.v	l.cal	Jacobaea vulgaris	Lasioglossum calceatum
CHUR	6	medium	b	180	32400	halictidae	lasioglossum	con.a	l.cal	Convolvulus arvensis	Lasioglossum calceatum
CHUR	6	medium	b	180	32400	halictidae	lasioglossum	con.a	l.mor	Convolvulus arvensis	Lasioglossum morio
CHUR	6	medium	b	180	32400	halictidae	lasioglossum	jac.v	l.pau	Jacobaea vulgaris	Lasioglossum pauxillum
CHUR	6	medium	b	180	32400	halictidae	lasioglossum	pic.h	l.pau	Picris hieracioides	Lasioglossum pauxillum
CHUR	6	medium	b	180	32400	halictidae	lasioglossum	hyp.r	l.pau	Hypochaeris radicata	Lasioglossum pauxillum
CHUR	6	medium	b	180	32400	halictidae	lasioglossum	dau.c	l.pau	Daucus carota	Lasioglossum pauxillum
CHUR	6	medium	b	180	32400	halictidae	lasioglossum	dau.c	l.pau	Daucus carota	Lasioglossum pauxillum
CHUR	6	medium	b	180	32400	halictidae	lasioglossum	cen.j	l.pau	Centaurea jacea	Lasioglossum pauxillum
CHUR	6	medium	b	180	32400	halictidae	lasioglossum	pic.h	l.vil	Picris hieracioides	Lasioglossum villosulum
BERG	1	medium	b	104	10816	halictidae	lasioglossum	NA	NA	NA	NA
BERG	2	medium	b	NA	NA	halictidae	lasioglossum	NA	NA	NA	NA
BERG	3	medium	b	130	16900	halictidae	lasioglossum	ger.p	l.mor	Geranium pyrenaicum	Lasioglossum morio
BERG	4	medium	b	143	20449	halictidae	lasioglossum	cen.j	l.cal	Centaurea jacea	Lasioglossum calceatum
BERG	4	medium	b	143	20449	halictidae	lasioglossum	ger.p	l.cal	Geranium pyrenaicum	Lasioglossum calceatum
BERG	5	medium	b	159	25281	halictidae	lasioglossum	NA	NA	NA	NA
BERG	6	medium	b	173	29929	halictidae	lasioglossum	NA	NA	NA	NA
BLAN	1	medium	b	94	8836	halictidae	lasioglossum	tar.r	l.nit	Taraxacum sect. Ruderalia	Lasioglossum nitidulum
BLAN	1	medium	b	94	8836	halictidae	lasioglossum	tar.r	l.lat	Taraxacum sect. Ruderalia	Lasioglossum laticeps
